problem_id, total rewards, total failures, avg steps to reward, best-case steps to reward, worst case steps to reward, steps to first goal
0, 5, 49995, 62.4, 24, 114, 1013
1, 14, 49986, 18.928571428571427, 10, 28, 989
2, 232, 49768, 21.625, 9, 81, 170
3, 28, 49972, 28.607142857142858, 13, 74, 3592
4, 15, 49985, 30.733333333333334, 8, 58, 1960
5, 30, 49970, 23.266666666666666, 8, 56, 572
6, 1, 49999, 19.0, 19, 19, 15180
7, 28, 49972, 16.107142857142858, 8, 28, 833
averages, 44.125, 49955.875, 27.58348214285714, 12.375, 57.25, 3038.625
